word|phrase
promise|I promise I won't cheat
promised|I already promised I would pay you back
average|The average temperature is 60 degrees farenheit
courage|It takes courage to stand up for what you believe in
encourage|I encourage you to do your best
language|I speak the English language
machine|The machine is broken
machinery|The machinery is complicated
purchase|I need to purchase a new car
magazine|I read a magazine about wolves
shoulder|I have a pain in my shoulder
disease|The disease spread quickly
muscle|I pulled a muscle in my leg
salt|Please pass the salt
parent|You need to get permission from a parent
guard|The guard is watching the prisoners
guardian|The guardian is responsible for the child
calm|I need to calm down
palm|I have a toy palm tree in the palm of my hand
yeah|Yeah, I know
listen|I listen to music
fasten|I need to fasten my seatbelt
fastened|I fastened my seatbelt
dozen|I need a dozen eggs
dozens|There are dozens of eggs
wonder|I wonder what time it is
wondering|I am wondering what time it is
spirit|My spirit will live forever
expertise|I have expertise in building software
hypotheses|There are many hypotheses about the origin of hiccups
analyses|The analyses of the data were inconclusive
experiment|I need to conduct an experiment
experimental|Be careful, that thing is still in the experimental phase
alter|I need to alter my plans
alternative|I need to find an alternative solution
among|I am among friends
amongst|I am amongst friends
automobile|I need to buy a new automobile
graduate|I am about to graduate highschool
route|I need to find the best route
routine|Do your evening routine
gasoline|Most cars run on gasoline
